make_slug,style_name,occurrences
datsun,MAXIMA SD,1
datsun,MAXIMA SD 5SP,1
datsun,MAXIMA SD AUTO.,1
datsun,NISSAN STANZA 3 DR,1
datsun,NISSAN STANZA 5 DR,1
datsun,PULSAR NX CP,1
datsun,REGULAR,1
datsun,SENTRA 4 DR WAGON,1
datsun,SENTRA DELUXE 2 DR / 4 DR,1
datsun,SENTRA DELUXE WAGON,1
datsun,SENTRA HB,1
datsun,SENTRA XE HB,1
datsun,STANZA 4 DR HB,1
datsun,STANZA GL 4 DR SD,1
datsun,STANZA XE 2 DR HB,1
dodge,2000 DOHC AWD 4DR SEDAN,1
dodge,2000 GTX,1
dodge,2000 GTX BASE/PREM/PREM DOHC 4DR SEDAN,1
dodge,B 150 MINI,1
dodge,B 150 STD,1
dodge,B 250 MAXI,1
dodge,B 250 MINI,1
dodge,B 250 STD,1
dodge,B 350 MAXI,1
dodge,B 350 STD,1
dodge,B150 MINI,1
dodge,B150 STD,1
dodge,B250 MAXI,1
dodge,B250 MINI,1
dodge,B250 STD,1
dodge,B350 MAXI,1
dodge,B350 STD,1
dodge,D 150,1
dodge,D 150 CLUB CAB,1
dodge,D 150 CLUB CAB LONG,1
dodge,D 150 LONG,1
dodge,D 150 UTILINE,1
dodge,D 150 UTILINE LONG,1
dodge,D 250,1
dodge,D 250 AND D 350 CHASSIS CAB,1
dodge,D 250 AND D 350 CLUBCAB,1
dodge,D 250 AND D 350 CREWCAB,1
dodge,D 250 AND D 350 CREWCAB LONG,1
dodge,D 250 AND D 350 UTILINE,1
dodge,D-150 UTILINE,1
dodge,D150,1
dodge,D150 CLUB CAB,1
dodge,D150 CLUB CAB LONG,1
dodge,D150 LONG,1
dodge,D150 UTILINE LONG,1
dodge,D250,1
dodge,D250 D350 CHASSIS CAB,1
dodge,D250 D350 CLUB CAB,1
dodge,D250 D350 CREW CAB,1
dodge,D250 D350 CREW CAB LONG,1
dodge,D250 D350 UTILINE,1
dodge,EXPO 4 DR HATCHBACK,2
dodge,SRT-4 4DR SEDAN FWD,2
dodge,SX 2.0 4DR SEDAN FWD BASE/SPORT,2
dodge,SX 2.0 4DR SEDAN FWD R/T,2
dodge,SX 2.0/R 4DR SEDAN FWD,1
dodge,SX 2.0/SPORT 4DR SEDAN FWD,1
dodge,SX 2.0/T 4DR SEDAN FWD,1
dodge,W 105 4 WD LONG,1
dodge,W 150 4 WD,1
dodge,W 150 4 WD CLUBCAB,1
dodge,W 150 4 WD CLUBCAB LONG,1
dodge,W 150 4 WD UTILINE,1
dodge,W 150 4 WD UTILINE LONG,1
dodge,W150 4 WD,1
dodge,W150 CLUB CAB 4 WD,1
dodge,W150 CLUB CAB LONG 4 WD,1
dodge,W150 LONG 4 WD,1
dodge,W150 UTILINE 4 WD,1
dodge,W150 UTILINE 4 WD LONG,1
ferrari,348 2DR COUPE,1
ferrari,512 TESTEROSSA 2DR COUPE,2
